method; boosting; params; preshuffle; traintime; accuracy; recallmacro; recallmicro; f1macro; f1micro; meanndcg
gradient_boosting; True; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:00.719000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:10.018000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.598000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:09.855000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:00.610000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:09.132000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.749000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:09.596000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'n_estimators': 10, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.593000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'n_estimators': 10, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:12.571000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.344000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:34.181000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:06.545000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:03:22.092000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.496000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:18.098000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.358000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:23.839000; 0; 0; 0; 0; 0; 0
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:03.617000; 0; 0; 0; 0; 0; 0
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:58.581000; 0; 0; 0; 0; 0; 0
